query_id,query_length,num_tables,num_joins,query_depth,complexity_score,has_aggregates,has_group_by,has_order_by,has_limit,has_distinct,has_window_functions,has_outer_joins,estimated_join_complexity,has_subqueries,has_correlated_subqueries,has_large_tables,all_tables_small,has_complex_expressions,has_user_functions,has_text_operations,has_numeric_heavy_ops,num_aggregate_funcs,analytical_pattern,transactional_pattern,etl_pattern,command_type,pg_time_ms,duck_time_ms,best_engine
3,444,2,1,1,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,443.36865603690967,245.49751996528357,duckdb
4,255,2,1,1,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,1,0,0,0,-1,-1,unknown
-4739625178091160869,413,4,3,1,4,1,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,3,1,0,0,0,349.60801602574065,72.94034701772034,duckdb
1,539,2,1,1,5,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,-1,unknown
2,427,1,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1.0619870154187083,14.934090024325997,postgres
3,444,2,1,1,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,75.03669802099466,266.18089398834854,postgres
4,255,2,1,1,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,1,0,0,0,-1,-1,unknown
5,540,5,4,1,5,1,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,3,1,0,0,0,22439.541723986622,2120.5710460199043,duckdb
6,379,5,4,1,3,0,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,unknown
7,287,3,2,1,2,1,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,2,1,0,0,0,1.8381050322204828,24.029331980273128,postgres
8,363,2,1,1,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,1,0,0,0,-1,-1,unknown
9,521,4,3,1,5,1,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,-1,unknown
10,389,5,4,1,3,1,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,1,0,0,0,0,-1,-1,unknown
11,675,4,3,1,6,1,0,0,1,0,0,0,6,0,0,0,0,0,0,1,0,3,1,0,0,0,12.015250977128744,39.089300960768014,postgres
12,469,4,3,1,4,1,1,1,0,0,0,0,6,0,0,0,0,0,0,1,0,4,1,0,0,0,7.823952997568995,33.01533003104851,postgres
13,414,3,2,1,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,unknown
14,209,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0.3611060092225671,11.68644498102367,postgres
15,521,2,1,1,5,1,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,2,1,0,0,0,-1,-1,unknown
16,542,3,2,1,5,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,4,1,0,0,0,-1,-1,unknown
17,359,5,4,1,3,1,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,4,1,0,0,0,-1,-1,unknown
18,487,2,1,1,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,1,0,0,0,-1,-1,unknown
19,261,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,-1,-1,unknown
20,149,2,1,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,12.185296975076199,23.036376980599016,postgres
21,616,2,1,1,6,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,-1,-1,unknown
22,464,2,1,1,4,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,1,0,0,0,1.1677820002660155,21.29827201133594,postgres
23,470,3,2,1,4,1,1,1,0,0,0,0,4,0,0,0,0,0,0,1,0,4,1,0,0,0,-1,-1,unknown
24,584,4,3,1,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,129.25145402550697,146.05108799878508,postgres
25,465,4,3,1,4,1,1,0,1,0,0,0,6,0,0,0,0,0,0,1,0,1,1,0,0,0,-1,-1,unknown
26,380,2,1,1,3,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,3,1,0,0,0,0.4117370117455721,20.32788301585242,postgres
27,350,4,3,1,3,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,unknown
28,154,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.25128998095169663,2.1784949931316078,postgres
29,564,5,4,1,5,1,0,1,0,0,0,1,8,0,0,0,0,0,0,1,0,4,0,0,0,0,1.164971967227757,3.0141539755277336,postgres
30,436,5,4,1,4,1,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,4,0,0,0,0,-1,-1,unknown
31,245,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
32,167,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.3343669814057648,11.514505022205412,postgres
33,513,5,4,1,5,1,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,1,0,0,0,-1,-1,unknown
34,308,5,4,1,3,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,-1,-1,unknown
35,690,5,4,1,6,1,1,1,0,0,0,1,8,0,0,0,0,0,0,0,0,1,1,0,0,0,101.83095699176192,196.78925996413454,postgres
36,147,3,2,1,1,1,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,6025.767792016268,58.77085204701871,duckdb
37,330,5,4,1,3,1,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,-1,-1,unknown
38,418,4,3,1,4,1,0,0,1,0,0,0,6,0,0,0,0,0,0,1,0,4,0,0,0,0,0.5352660082280636,36.19414597051218,postgres
39,639,2,1,1,6,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1.6860730247572064,23.17248994950205,postgres
40,717,4,3,1,7,1,0,0,1,0,0,1,6,0,0,0,0,0,0,1,0,2,1,0,0,0,15.811688033863902,13.33484798669815,duckdb
41,745,4,3,1,7,1,1,1,1,0,0,0,6,0,0,0,0,0,0,1,0,5,1,0,0,0,0.48706302186474204,22.92392001254484,postgres
42,135,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0.5344520322978497,12.62935099657625,postgres
43,264,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,-1,-1,unknown
44,455,4,3,1,4,1,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,4,1,0,0,0,-1,-1,unknown
45,245,3,2,1,2,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,-1,unknown
46,88,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.2736299647949636,11.134897009469569,postgres
47,231,3,2,1,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,-1,15152.579902962316,unknown
48,518,5,4,1,5,1,0,1,0,0,0,0,8,0,0,0,0,0,0,1,0,4,1,0,0,0,-1,-1,unknown
49,327,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0.4515729960985482,13.57701001688838,postgres
50,423,4,3,1,4,1,1,1,0,0,0,0,6,0,0,0,0,0,0,1,0,4,1,0,0,0,0.7669139886274934,33.756207034457475,postgres
51,350,2,1,1,3,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0.504249008372426,23.037984035909176,postgres
52,375,3,2,1,3,1,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,3,1,0,0,0,18.427435017656535,26.732844999060035,postgres
53,458,5,4,1,4,1,1,0,0,0,0,0,8,0,0,0,0,0,0,1,0,4,1,0,0,0,0.5629550432786345,59.291652985848486,postgres
54,331,2,1,1,3,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,4,0,0,0,0,0.3863199963234365,22.366308025084436,postgres
55,303,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.29212096706032753,2.313020988367498,postgres
56,373,5,4,1,3,1,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,-1,-1,unknown
57,376,1,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0.38657902041450143,13.779302011243999,postgres
58,1001,5,4,1,10,1,0,1,0,0,0,1,8,0,0,0,0,0,0,1,0,4,0,0,0,0,-1,-1,unknown
59,384,2,1,1,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0.4360070452094078,21.943765983451158,postgres
60,201,3,2,1,2,1,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0.7527540437877178,21.708759013563395,postgres
61,520,4,3,1,5,1,0,1,0,0,0,0,6,0,0,0,0,0,0,1,0,4,0,0,0,0,-1,-1,unknown
62,609,5,4,1,6,1,1,0,0,0,0,0,8,0,0,0,0,0,0,1,0,4,1,0,0,0,1.1131750070489943,41.839073004666716,postgres
63,437,4,3,1,4,1,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,-1,-1,unknown
64,536,4,3,1,5,1,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,3,1,0,0,0,0.4665579763241112,28.203362016938627,postgres
65,1092,4,3,1,10,1,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,3,1,0,0,0,-1,-1,unknown
66,510,1,0,1,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,-1,-1,unknown
67,465,1,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,0,0,3.0048860353417695,13.281084946356714,postgres
68,589,4,3,1,5,1,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,4,1,0,0,0,0.7694119703955948,32.16154995607212,postgres
69,339,1,0,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,-1,-1,unknown
70,208,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0.3817160031758249,12.832541018724442,postgres
71,345,3,2,1,3,1,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,-1,-1,unknown
72,324,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,-1,-1,unknown
73,523,3,2,1,5,1,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,6,1,0,0,0,-1,1374.8471370199695,unknown
74,399,5,4,1,3,1,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,1,0,0,0,1.7487129662185907,35.87596898432821,postgres
75,641,4,3,1,6,1,0,1,0,0,0,0,6,0,0,0,0,0,0,1,0,3,0,0,0,0,83.35145603632554,81.3081000233069,duckdb
76,273,3,2,1,2,1,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,-1,-1,unknown
77,473,3,2,1,4,1,1,1,0,0,0,0,4,0,0,0,0,0,0,1,0,3,1,0,0,0,0.9438759880140424,24.616437032818794,postgres
78,367,2,1,1,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0.46559202019125223,2.798139990773052,postgres
79,355,2,1,1,3,1,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,6,1,0,0,0,1.246810017619282,23.17878697067499,postgres
80,435,3,2,1,4,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0.4055679892189801,2.8241690015420318,postgres
81,742,5,4,1,7,1,1,1,0,0,0,0,8,0,0,0,0,0,0,1,0,2,1,0,0,0,-1,-1,unknown
82,411,2,1,1,4,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,unknown
83,247,4,3,1,2,1,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0.36707299295812845,23.925678979139775,postgres
84,568,3,2,1,5,1,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0.5048110033385456,27.335078979376704,postgres
85,433,2,1,1,4,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,2,1,0,0,0,0.4024420049972832,13.564802007749677,postgres
86,329,1,0,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0.4007330280728638,12.973238015547395,postgres
87,331,2,1,1,3,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0.620185979641974,21.02458302397281,postgres
88,407,4,3,1,4,1,1,1,1,0,0,0,6,0,0,0,0,0,0,0,0,3,1,0,0,0,-1,-1,unknown
89,162,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0.36436901427805424,1.7914279596880078,postgres
90,466,2,1,1,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,-1,-1,unknown
91,663,1,0,1,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,113.63793700002134,102.57170599652454,duckdb
92,549,4,3,1,5,1,1,0,1,0,0,0,6,0,0,0,0,0,0,1,0,6,1,0,0,0,3219.78395502083,131.5679699764587,duckdb
93,676,4,3,1,6,1,0,1,1,0,0,1,6,0,0,0,0,0,0,0,0,4,0,0,0,0,108.00048697274178,198.0774219846353,postgres
94,416,5,4,1,4,0,0,0,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,unknown
95,271,5,4,1,2,1,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,2311.0847449861467,333.18339800462127,duckdb
96,498,3,2,1,4,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0.4935949691571295,2.983870974276215,postgres
97,87,2,1,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3716619685292244,19.25649296026677,postgres
98,691,3,2,1,6,1,0,1,0,0,0,1,4,0,0,0,0,0,0,1,0,4,1,0,0,0,59.3661519815214,69.2293900065124,postgres
99,459,4,3,1,4,1,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,3,1,0,0,0,130.6811219546944,42.11660899454728,duckdb
100,621,2,1,1,6,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,-1,-1,unknown
101,509,5,4,1,5,1,0,1,1,0,0,0,8,0,0,0,0,0,0,1,0,5,1,0,0,0,-1,-1,unknown
102,355,2,1,1,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,4.148627980612218,21.5090709971264,postgres
103,550,4,3,1,5,1,1,1,1,0,0,0,6,0,0,0,0,0,0,0,0,4,1,0,0,0,-1,-1,unknown
104,126,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,unknown
105,527,5,4,1,5,1,1,0,0,0,0,0,8,0,0,0,0,0,0,1,0,4,1,0,0,0,-1,-1,unknown
106,225,4,3,1,2,1,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,512.067707022652,106.33564396994188,duckdb
107,629,2,1,1,6,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,1,0,0,0,152.68508502049372,161.65119200013578,postgres
108,341,2,1,1,3,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,4,1,0,0,0,-1,-1,unknown
109,379,3,2,1,3,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,1,0,0,0,-1,-1,unknown
110,252,4,3,1,2,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,6.91366201499477,28.27726601390168,postgres
111,399,2,1,1,3,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0.4294560058042407,22.958002984523773,postgres
112,594,4,3,1,5,1,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,2,0,0,0,0,-1,-1,unknown
113,153,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,-1,-1,unknown
114,580,2,1,1,5,1,0,1,1,0,0,1,2,0,0,0,0,0,0,1,0,2,1,0,0,0,74.05174599261954,201.2842379626818,postgres
115,473,3,2,1,4,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,-1,-1,unknown
116,558,5,4,1,5,1,1,1,0,0,0,0,8,0,0,0,0,0,0,1,0,2,1,0,0,0,-1,-1,unknown
117,718,2,1,1,7,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,-1,-1,unknown
118,384,2,1,1,3,1,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,3,1,0,0,0,47.74150805315003,29.897998028900474,duckdb
119,472,3,2,1,4,1,1,0,1,0,0,0,4,0,0,0,0,0,0,1,0,2,1,0,0,0,0.46290899626910686,33.36403996217996,postgres
120,373,5,4,1,3,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,-1,unknown
121,274,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.3876620321534574,14.60608997149393,postgres
122,498,5,4,1,4,1,1,1,0,0,0,0,8,0,0,0,0,0,0,1,0,3,1,0,0,0,-1,-1,unknown
123,183,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-1,-1,unknown
124,133,3,2,1,1,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1216.4800059981644,31.867169949691743,duckdb
125,266,2,1,1,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,5,0,0,0,0,0.42999000288546085,21.172136010136455,postgres
126,462,5,4,1,4,1,1,1,0,0,0,0,8,0,0,0,0,0,0,1,0,3,1,0,0,0,-1,-1,unknown
127,801,1,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,-1,-1,unknown
128,222,2,1,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0.37784501910209656,24.316038005053997,postgres
129,291,5,4,1,2,1,1,0,0,0,0,0,8,0,0,0,0,0,0,1,0,2,1,0,0,0,-1,-1,unknown
130,566,5,4,1,5,1,1,0,0,0,0,0,8,0,0,0,0,0,0,1,0,3,1,0,0,0,1.6554479952901602,47.430241014808416,postgres
131,340,3,2,1,3,1,1,0,1,0,0,0,4,0,0,0,0,0,0,1,0,4,1,0,0,0,3579.9177840235643,452.2840260178782,duckdb
132,359,4,3,1,3,1,1,1,0,0,0,0,6,0,0,0,0,0,0,1,0,2,1,0,0,0,47.845112974755466,40.2935299789533,duckdb
133,597,4,3,1,5,1,0,1,0,0,0,0,6,0,0,0,0,0,0,1,0,2,0,0,0,0,-1,-1,unknown
134,217,4,3,1,2,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,4223.182205983903,122.14369600405917,duckdb
135,631,3,2,1,6,1,1,0,1,0,0,1,4,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,-1,unknown
136,505,5,4,1,5,1,1,0,0,0,0,1,8,0,0,0,0,0,0,1,0,2,1,0,0,0,-1,-1,unknown
137,503,1,0,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,0,0,10.463267972227186,18.0015160003677,postgres
138,205,2,1,1,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0.5547429900616407,1.7145780147984624,postgres
139,361,1,0,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0.39740203646942973,12.1576469973661,postgres
140,264,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,3.147763025481254,16.29694300936535,postgres
141,558,5,4,1,5,1,0,1,1,0,0,1,8,0,0,0,0,0,0,0,0,5,0,0,0,0,-1,-1,unknown
142,482,5,4,1,4,1,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,-1,unknown
143,197,2,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,1,0,0,0,2264.684614026919,954.2497079819441,duckdb
144,340,4,3,1,3,1,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,4,1,0,0,0,-1,-1,unknown
145,228,4,3,1,2,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,-1,18249.87684498774,unknown
146,250,2,1,1,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,2,1,0,0,0,0.3832119982689619,20.78277396503836,postgres
147,438,5,4,1,4,1,1,0,0,0,0,0,8,0,0,0,0,0,0,1,0,3,1,0,0,0,-1,-1,unknown
148,423,4,3,1,4,1,1,0,1,0,0,0,6,0,0,0,0,0,0,1,0,3,1,0,0,0,0.5734090227633715,25.157099007628858,postgres
149,497,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,2.369989000726491,19.200160983018577,postgres
150,397,3,2,1,3,1,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,3,1,0,0,0,7.791562005877495,32.756972999777645,postgres
151,538,4,3,1,5,1,1,1,1,0,0,0,6,0,0,0,0,0,0,1,0,5,1,0,0,0,0.5382800009101629,3.630715946201235,postgres
152,386,4,3,1,3,1,0,1,0,0,0,0,6,0,0,0,0,0,0,1,0,5,0,0,0,0,0.41157903615385294,24.573290022090077,postgres
153,525,4,3,1,5,1,1,1,1,0,0,0,6,0,0,0,0,0,0,1,0,5,1,0,0,0,2.5270750047639012,33.22802600450814,postgres
154,259,2,1,1,2,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0.3805430023930967,21.486946032382548,postgres
155,431,5,4,1,4,1,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,5,1,0,0,0,-1,-1,unknown
156,254,4,3,1,2,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,2,1,0,0,0,-1,-1,unknown
157,625,5,4,1,6,1,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,2,1,0,0,0,-1,-1,unknown
158,209,2,1,1,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,20538.701849989593,2036.3460080116056,duckdb
159,425,4,3,1,4,1,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,5,1,0,0,0,-1,-1,unknown
160,329,1,0,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0.38260500878095627,12.31031701900065,postgres
161,573,5,4,1,5,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,-1,-1,unknown
162,207,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0.3971050027757883,11.443933006376028,postgres
163,553,5,4,1,5,1,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,2,1,0,0,0,0.6341139669530094,2243.116034020204,postgres
164,224,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,-1,-1,unknown
165,549,1,0,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0.5084159784018993,12.880416994448751,postgres
166,761,2,1,1,7,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,1,0,0,0,68.85963497916237,137.15084799332544,postgres
167,574,2,1,1,5,1,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,3,1,0,0,0,-1,-1,unknown
168,538,1,0,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,0,0,0.33473700750619173,3.6247179959900677,postgres
169,659,3,2,1,6,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,-1,-1,unknown
170,533,3,2,1,5,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,1,0,0,0,-1,-1,unknown
171,416,5,4,1,4,1,1,0,0,0,0,0,8,0,0,0,0,0,0,1,0,2,1,0,0,0,-1,-1,unknown
172,485,3,2,1,4,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,1,0,0,0,528.4487849567086,601.038004970178,postgres
173,339,3,2,1,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,12.88498198846355,25.902232038788497,postgres
174,316,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.9993119747377932,13.818298990372568,postgres
175,508,4,3,1,5,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,1,0,0,0,-1,-1,unknown
176,294,1,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0.8659700397402048,12.567233992740512,postgres
177,302,2,1,1,3,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0.9782530250959098,23.34949199575931,postgres
178,277,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,-1,-1,unknown
